Аэродромный;Аэр/о/дро́м/н/ый.

Окулированный;Окул/и́р/ова/нн/ый.

Окулировка;Окул/ир/о́в/к/а.

Окулировочный;Окул/ир/о́в/оч/н/ый.

Окулист;Окул/и́ст/.

Окулистка;Окул/и́ст/к/а.

Окультивированный;О/культив/и́р/ова/нн/ый.

Окультуренный;О/культу́р/енн/ый.

Окультуривание;О/культу́р/ива/ни/е [й/э].

Окуляр;Окул/я́р/ (линза).

Окулярный;Окул/я́р/н/ый.

Окуляры;Окул/я́р/ы (очки).

Окуневый;О́кун/ев/ый и окун/ёв/ый.

Окунеобразные;Окун/е/обра́з/н/ые, -ых.

Окунутый;Оку́/ну/т/ый.

Окунь;О́кунь/.

Окунёк;Окун/ёк/.

Окупаемость;О/куп/а́/ем/ость/.

Опошлеть;О/пошл/е́/ть.

Опоэтизированный;О/поэт/из/и́р/ова/нн/ый.

Опоэтизировать;О/поэт/из/и́р/ова/ть.

Опоясанный;О/поя́с/а/нн/ый.

Опояска;О/поя́с/к/а.

Оппозиционер;Оппозици/он/е́р/.

Оппозиционерка;Оппозици/он/е́р/к/а.

Оппозиционный;Оппозици/о́нн/ый.

Оппозиция;Оппози́ци/я [й/а] (полит., астр.).

Оппонент;Оппон/е́нт/.

Оппонентка;Оппон/е́нт/к/а.

Оппонировать;Оппон/и́р/ова/ть.

Оппортунизм;Оппортун/и́зм/.

Оппортунист;Оппортун/и́ст/.

Оппортунистический;Оппортун/ист/и́ческ/ий.

Оппортунистка;Оппортун/и́ст/к/а.

Оппортунистский;Оппортун/и́ст/ск/ий.

Оправа;Опра́в/а.

Оправдание;Оправд/а́/ни/е [й/э].

Оправданный;Опра́вд/а/нн/ый.

Оправдательный;Оправд/а́/тельн/ый.

Оправить 1;О/пра́в/и/ть¹ [ср.: по/пра́в/и/ть].

Оправить 2;Опра́в/и/ть² (камень).

Оправиться;О/пра́в/и/ть/ся (от о/пра́в/и/ть¹).

Операционистка;Опер/аци/он/и́ст/к/а.

Операционная;Опер/аци/о́нн/ая, -ой.

Операционный;Опер/аци/о́нн/ый.

Операция;Опер/а́ци/я [й/а].

Опергруппа;Опер/гру́пп/а.

Опередить;О/перед/и́/ть.

Опережение;О/переж/е́ни/е [й/э].

Опережённый;О/переж/ённ/ый.

Оперение;О/пер/е́ни/е [й/э].

Оперетка;Опер/е́т/к/а.

Опереточный;Опер/е́т/оч/н/ый.

Оперетта;Опер/е́тт/а.

Оперированный;Опер/и́р/ова/нн/ый.

Оперный;О́пер/н/ый.

Оперуполномоченный;Опер/у/полномо́ч/енн/ый, -ого.

Оперённый;О/пер/ённ/ый.

Опечаленный;О/печа́л/енн/ый.

Опечатанный;О/печа́т/а/нн/ый.

Опечатать;О/печа́т/а/ть.

Опечатка;О/печа́т/к/а.

Опечатывание;О/печа́т/ыва/ни/е [й/э].

Опёртый;О/пёр/т/ый.

Отрог;Отро́г/.

Отродиться;От/род/и́/ть/ся.

Отроду;О́т/род/у, нареч. (о́троду не ви́дел), но сущ. о́т роду (пяти́ лет о́т роду).

Отродье;От/ро́дь/е [й/э].

Отродясь;От/род/я́/сь, нареч.

Отроек;От/ро́/ек/.

Отрожек;Отро́ж/ек/ (от отро́г/).

Отрожина;Отро́ж/ин/а.

Отрок;О́трок/.

Отроковица;Отрок/ов/и́ц/а.

Отросток;От/ро́ст/ок/.

Отростчатый;От/ро́ст/ч/ат/ый.

Отросший;От/ро́с/ш/ий.

Отроческий;О́троч/еск/ий.

Отрочество;О́троч/еств/о.

Отроённый;От/ро/ённ/ый.

Отруб;О́т/руб/ (участок земли).

Отруб;От/ру́б/ (место разруба).

Отруби;О́труб/и.

Отрубить;От/руб/и́/ть.

Отрубленный;От/ру́бл/енн/ый.

Отрубной 1;От/руб/н/о́й¹ (от о́т/руб/).

Отрубной 2;От/руб/н/о́й² (от от/ру́б/).

Отрубный;О́труб/н/ый (от о́труб/и).

Отруганный;От/ру́г/а/нн/ый.

Отругать;От/руг/а́/ть.

Отругиваться;От/ру́г/ива/ть/ся.

Отруливать;От/ру́л/ива/ть.

Облысение;Об/лыс/е́/ни/е [й/э].

Облысеть;Об/лыс/е́/ть.

Облюбованный;Об/люб/о́ва/нн/ый.

Облюбовать;Об/люб/ова́/ть.

Обляпанный;Об/ля́п/а/нн/ый.

Обмазанный;Об/ма́з/а/нн/ый.

Обмазка;Об/ма́з/к/а.

Обмазочный;Об/ма́з/оч/н/ый.

Обмазчик;Об/ма́з/чик/.

Обмазывание;Об/ма́з/ыва/ни/е [й/э].

Обмакнутый;Об/мак/ну́/т/ый.

Обман;Обма́н/.

Обманка;Обма́н/к/а.

Обманный;Обма́н/н/ый.

Обманутый;Обма́/ну/т/ый.

Обманчивый;Обма́н/чив/ый.

Обманщик;Обма́н/щик/.

Обманщица;Обма́н/щиц/а.

Обмаранный;Об/ма́р/а/нн/ый.

Отглоданный;От/гло́д/а/нн/ый.

Отглодать;От/глод/а́/ть, от/глож/у́ и от/глод/а́/ю.

Отглотнуть;От/глот/ну́/ть.

Отгнивать;От/гн/и/ва́/ть.

Отгнить;От/гн/и́/ть.

Отговорка;От/гово́р/к/а.

Отговорённый;От/говор/ённ/ый.

Отголосок;От/голо́с/ок/.

Отгон;От/го́н/.

Отгонка;От/го́н/к/а.

Отгонный;От/го́н/н/ый.

Отгонять;От/гон/я́/ть.

Отгорать;От/гор/а́/ть.

Отгоревать;От/гор/ева́/ть.

Отгореть;От/гор/е́/ть.

Отгороженный;От/горо́ж/енн/ый.

Отгранить;От/гран/и́/ть.

Отграничение;От/гранич/е́ни/е [й/э].

Отграниченный;От/грани́ч/енн/ый.

Отграничить;От/грани́ч/и/ть.

Отгранённый;От/гран/ённ/ый.

Отграфить;От/граф/и́/ть.

Отграфлённый;От/графл/ённ/ый.

Обозначение;Обо/знач/е́ни/е [й/э].

Обозначенный;Обо/зна́ч/енн/ый.

Обозник;Обо́з/ник/.

Обозный;Обо́з/н/ый.

Обозревание;Обо/зр/е/ва́/ни/е [й/э].

Обозреватель;Обо/зр/е/ва́/тель/.

Обозрение;Обо/зр/е́/ни/е [й/э].

Обозреть;Обо/зр/е́/ть, обо/зр/ю́, обо/зр/и́т.

Обозримый;Обо/зр/и́м/ый.

Обозчик;Обо́з/чик/.

Обои;О/бо́/и.

Обойдённый;Обо/йд/ённ/ый.

Обойка;О/бо́й/к/а.

Обойма;Обо́йм/а.

Обойный;О/бо́й/н/ый.

Обойщик;О/бо́й/щик/.

Обок;О́/бок, нареч. (шага́ть о́бок), но сущ. о́ бок (бок о́ бок).

Обокраденный;Обо/кра́д/енн/ый.

Обокрасть;Обо/кра́с/ть, об/крад/у́.

Оболваненный;О/болва́н/енн/ый.

Оболванеть;О/болва́н/е/ть.

Оболванивание;О/болва́н/ива/ни/е [й/э].

Оболганный;Обо́/лг/а/нн/ый.

Оболгать;Обо/лг/а́/ть.

Оболочка;Оболо́чк/а.

Обговорить;Об/говор/и́/ть.

Обговорённый;Об/говор/ённ/ый.

Обгон;Об/го́н/.

Обгорать;Об/гор/а́/ть.

Обгорелый;Об/гор/е́/л/ый.

Обгореть;Об/гор/е́/ть.

Обгороженный;Об/горо́ж/енн/ый.

Обгрызенный;Об/гры́з/енн/ый.

Обгрызть;Об/гры́з/ть.

Обгрызший;Об/гры́з/ш/ий.

Обданный;О́б/да/нн/ый.

Обдарить;Об/дар/и́/ть.

Обдарённый;Об/дар/ённ/ый.

Обделанный;Об/де́л/а/нн/ый.

Обделить;Об/дел/и́/ть.

Обделка;Об/де́л/к/а.

Обделочный;Об/де́л/оч/н/ый.

Обделывание;Об/дел/ы́ва/ни/е [й/э].

Обделённый;Об/дел/ённ/ый.

Обсмеянный;Об/сме́/я/нн/ый.

Обсмеять;Об/сме/я́/ть.

Обсолить;Об/сол/и́/ть.

Обсосанный;Об/со́с/а/нн/ый.

Обсохнуть;Об/со́х/ну/ть.

Обсохший;Об/со́х/ш/ий.

Обсоюженный;Об/сою́ж/енн/ый.

Обсоюзить;Об/сою́з/и/ть.

Обставленный;Об/ста́вл/енн/ый.

Обстановка;Обстано́вк/а.

Обстановочный;Обстано́воч/н/ый.

Обстиранный;Об/сти́р/а/нн/ый.

Обстоятельность;Обстоя́тельн/ость/.

Обстоятельный;Обстоя́тельн/ый.

Обстоятельственный;Обстоя́тельств/енн/ый.

Обстоятельство;Обстоя́тельств/о.

Обстоять;Об/сто/я́/ть.

Обстраивание;Об/стра́/ива/ни/е [й/э].

Обстрекаться;Об/стрек/а́/ть/ся.

Обстрел;Об/стре́л/.

Обстреливание;Об/стре́л/ива/ни/е [й/э].

Отдаление;От/дал/е́ни/е [й/э].

Отдалённость;От/дал/ённ/ость/.

Отдалённый;От/дал/ённ/ый; кр. ф. прич. от/дал/ён/, от/дал/ен/а́; кр. ф. прил. от/дал/ён/, от/дал/ённ/а.

Отдание;От/да́/ни/е [й/э].

Отданный;О́т/да/нн/ый.

Отдарённый;От/дар/ённ/ый.

Отдатчик;От/да́/т/чик/.

Отдача;От/да́/ч/а.

Отдвигать;От/дви́г/а/ть, сов. (от дви́г/а/ть).

Отдвижной;От/движ/н/о́й.

Отдвинутый;От/дви́/ну/т/ый.

Отдежуренный;От/дежу́р/енн/ый.

Отдежуривать;От/дежу́р/ива/ть.

Отдежурить;От/дежу́р/и/ть.

Отдел;От/де́л/.

Отделанный;От/де́л/а/нн/ый.

Отделение;От/дел/е́ни/е [й/э].

Отделенский;От/дел/е́н/ск/ий.

Отделенческий;От/дел/е́н/ч/еск/ий.

Отделимый;От/дел/и́м/ый.

Отделённый 1;От/дел/ённ/ый¹, прич.

Отделённый 2;От/дел/ён/н/ый², -ого.

Ожинок;О/жи́н/ок/.

Ожирение;О/жир/е́/ни/е [й/э].

Ожиреть;О/жир/е́/ть.

Ожить;О/жи́/ть, о/жи/в/у́.

Ожог;О/жо́г/, но прош. о/жёг/.

Ожоговый;О/жо́г/ов/ый.

Озабоченность;О/забо́ч/енн/ость/.

Озабоченный;О/забо́ч/енн/ый.

Озаглавить;О/загла́в/и/ть.

Озаглавленный;О/загла́вл/енн/ый.

Озадаченный;Озада́ч/енн/ый.

Озарение;Озар/е́ни/е [й/э].

Озарённый;Озар/ённ/ый.

Озверелый;О/звер/е́/л/ый.

Озверение;О/звер/е́/ни/е [й/э].

Озвереть;О/звер/е́/ть.

Озвучение;О/зву́ч/ени/е [й/э].

Озвученный;О/зву́ч/енн/ый.

Озвучивание;О/зву́ч/ива/ни/е [й/э].

Озвучить;О/зву́ч/и/ть.

Оздороветь;О/здоров/е́/ть.

Оздоровительный;О/здоров/и́/тельн/ый.

Отпоенный;От/по́/енн/ый.

Отпоить;От/по/и́/ть.

Отползать;От/полз/а́/ть.

Отползти;От/полз/ти́.

Отползший;От/по́лз/ш/ий.

Отполированный;От/полиро́ва/нн/ый.

Отполосканный;От/поло́ск/а/нн/ый.

Отполоскать;От/полоск/а́/ть, от/полощ/у́ и от/полоск/а́/ю.

Отполосованный;От/полос/о́ва/нн/ый.

Отполосовать;От/полос/ова́/ть.

Отполотый;От/по́л/о/т/ый.

Отполоть;От/пол/о́/ть.

Отпор;Отпо́р/.

Отпорный;Отпо́р/н/ый.

Отпоротый;От/по́р/о/т/ый.

Отпотевание;От/пот/е/ва́/ни/е [й/э].

Отпотевать;От/пот/е/ва́/ть.

Отпотеть;От/пот/е́/ть.

Отпотчевать;От/по́тчева/ть.

Отпочкование;От/почк/ова́/ни/е [й/э].

Отпочковаться;От/почк/ова́/ть/ся.

Отпочковываться;От/почк/о́в/ыва/ть/ся.

Отправитель;Отправ/и́/тель/.

Отправительница;Отправ/и́/тель/ниц/а.

Отправительский;Отправ/и́/тель/ск/ий.

Остуженный;О/сту́ж/енн/ый.

Оступаться;О/ступ/а́/ть/ся.

Оступиться;О/ступ/и́/ть/ся.

Остывать;О/сты/ва́/ть.

Остывший;О/сты́/вш/ий.

Остылый;О/сты́/л/ый.

Остынуть;О/сты́/ну/ть и о/сты́/ть, о/сты́/н/у.

Ость;Ость/.

Остяк;Остя́к/.

Остяцкий;Остя́ц/к/ий.

Остячка;Остя́ч/к/а.

Осудить;О/суд/и́/ть.

Осуждение;О/сужд/е́ни/е [й/э].

Осуждённый;О/сужд/ённ/ый.

Осунуться;Осу́/ну/ть/ся.

Осушение;О/суш/е́/ни/е [й/э].

Осушенный;О/су́ш/енн/ый.

Осушитель;О/суш/и́/тель/.

Осушительный;О/суш/и́/тельн/ый.

Осушка;О/су́ш/к/а.

Осуществимый;Осуществ/и́м/ый.

Осуществление;Осуществл/е́ни/е [й/э].

Осуществлённый;Осуществл/ённ/ый.

Осциллограмма;Осцилл/о/гра́мм/а.

Осциллограф;Осцилл/о́/граф/.

Осциллографический;Осцилл/о/граф/и́ческ/ий.

Осциллография;Осцилл/о/гра́ф/и/я [й/а].

Осциллометрия;Осцилл/о/ме́тр/и́/я [й/а].

Осциллоскоп;Осцилл/о/ско́п/.

Осциллятор;Осцилл/я́тор/.

Осцилляция;Осцилл/я́ци/я [й/а].

Осчастливить;О/счаст/ли́в/и/ть.

Осчастливленный;О/счаст/ли́вл/енн/ый.

Осчастливливать;О/счаст/ли́вл/ива/ть.

Осыпаемость;О/сып/а́/ем/ость/.

Осыпание;О/сып/а́/ни/е [й/э].

Осыпанный;О/сы́п/а/нн/ый.

Осыпь;О́/сыпь/.

Ось;Ось/.

Осьмизубые;Осьм/и/зу́б/ые, -ых.

Осьмина;Осьм/и́н/а.

Осьминник;Осьм/и́н/ник/.

Осьминог;Осьм/и/но́г/.

Осьмой;Осьм/о́й.

Осьмуха;Осьм/у́х/а.

Осьмушечка;Осьм/у́ш/еч/к/а.

Осьмушка;Осьм/у́ш/к/а.

Осязаемость;Осяза́/ем/ость/.

Осязаемый;Осяза́/ем/ый.

Осязание;Осяза́/ни/е [й/э].

Осязательный;Осяза́/тельн/ый.

Окраска;О/кра́с/к/а.

Окрасочный;О/кра́с/оч/н/ый.

Окрашенный;О/кра́ш/енн/ый.

Окрашивание;О/кра́ш/ива/ни/е [й/э].

Окрепнуть;О/кре́п/ну/ть.

Окрепший;О/кре́п/ш/ий.

Окрест;Окре́ст, нареч.

Окрестность;Окре́ст/н/ость/.

Окрестный;Окре́ст/н/ый.

Окрещённый;О/крещ/ённ/ый.

Окриветь;О/крив/е́/ть.

Окривить;О/крив/и́/ть.

Окрик;О́/крик/.

Окрикивать;О/кри́к/ива/ть.

Окрикнутый;О/кри́к/ну/т/ый.

Окрикнуть;О/кри́к/ну/ть.

Окристаллизованный;О/кристалл/из/о́ва/нн/ый.

Окровавленный;О/кров/а́вл/енн/ый.

Окровенеть;О/кров/ен/е́/ть.

Окровенённый;О/кров/ен/ённ/ый.

Окрол;О/кро́л/.

Окромсать;О/кромс/а́/ть.

Отживить;От/жи/в/и́/ть.

Отживлённый;От/жи/вл/ённ/ый.

Отживший;От/жи́/вш/ий.

Отжиг;О́т/жиг/.

Отжигательный;От/жиг/а́/тельн/ый.

Отжиленный;От/жи́л/енн/ый.

Отжиливать;От/жи́л/ива/ть.

Отжилить;От/жи́л/и/ть.

Отжилок;От/жи́л/ок/.

Отжим;От/жи́м/.

Отжимание;От/жим/а́/ни/е [й/э].

Отжимка;От/жи́м/к/а.

Отжимной;От/жим/н/о́й и от/жи́м/н/ый.

Отжимок;От/жи́м/ок/.

Отжинать;От/жин/а́/ть.

Отжитый;О́т/жи́/т/ый.

Отжить;От/жи́/ть, от/жи/в/у́.

Отжог;От/жо́г/, но прош. от/жёг/.

Отзавтракать;От/за́втрак/а/ть.

Отзаниматься;От/заним/а́/ть/ся.

Отзванивать;От/зва́н/ива/ть.

Отзвенеть;От/звен/е́/ть.

Отзвонить;От/звон/и́/ть.

Отзвук;О́т/звук/.

Отзвучать;От/звуч/а́/ть.

Отзвучие;От/зву́ч/и/е [й/э].

Отзимовать;От/зим/ова́/ть.

Облаянный;Об/ла́/я/нн/ый.

Облаять;Об/ла́/я/ть.

Облегать;Об/лег/а́/ть.

Облегчение;Об/легч/е́ни/е [й/э].

Облегчённый;Об/легч/ённ/ый.

Обледеневать;Об/лед/ен/е/ва́/ть.

Обледенелый;Об/лед/ен/е́/л/ый.

Обледенение;Об/лед/ен/е́/ни/е [й/э].

Обледенеть;Об/лед/ен/е́/ть.

Обледенить;Об/лед/ен/и́/ть.

Обледенённый;Об/лед/ен/ённ/ый.

Облезать;Об/лез/а́/ть.

Облезлый;Об/ле́з/л/ый.

Облезть;Об/ле́з/ть.

Облезший;Об/ле́з/ш/ий.

Облениваться;Об/ле́н/ива/ть/ся.

Облепиха;Облепи́х/а.

Облепиховый;Облепи́х/ов/ый.

Облепленный;Об/ле́пл/енн/ый.

Облесение;Об/лес/е́ни/е [й/э].

Облесительный;Об/лес/и́/тельн/ый.

Облесённый;Об/лес/ённ/ый.

Облёгший;Об/лёг/ш/ий.

Одурачить;О/дур/а́ч/и/ть.

Одурелый;О/дур/е́/л/ый.

Одурение;О/дур/е́/ни/е [й/э].

Одуреть;О/дур/е́/ть.

Одурманенный;О/дурма́н/енн/ый.

Одурманивание;О/дурма́н/ива/ни/е [й/э].

Одурь;О́/дурь/.

Одурять;О/дур/я́/ть.

Одуряющий;О/дур/я́/ющ/ий.

Одутловатость;Одутл/ова́т/ость/.

Одутловатый;Одутл/ова́т/ый.

Одутлый;Оду́тл/ый.

Одухотворение;Одухотвор/е́ни/е [й/э].

Одухотворённость;Одухотвор/ённ/ость/.

Одухотворённый;Одухотвор/ённ/ый; кр. ф. прич. одухотвор/ён/, одухотвор/ен/а́; кр. ф. прил. одухотвор/ён/, одухотвор/ённ/а.

Одушевление;О/душ/евл/е́ни/е [й/э].

Одушевлённость;О/душ/евл/ённ/ость/.

Одушевлённый;О/душ/евл/ённ/ый.

Одышка;О/ды́ш/к/а.

Ожененный;О/же́н/енн/ый.

Опешить;Опе́ш/и/ть.

Опивала;О/пи/ва́/л/а, м. и ж.

Опивки;О/пи́/в/к/и.

Опиекурильня;Опи/е/кур/и́/ль/н/я.

Опий;О́пий/.

Опийный;О́пий/н/ый.

Опиленный;О/пи́л/енн/ый.

Опиливание;О/пи́л/ива/ни/е [й/э].

Опилить;О/пил/и́/ть.

Опилка;О/пи́л/к/а (действие).

Опилки;О/пи́л/к/и.

Опиловка;О/пил/о́вк/а.

Опиловочный;О/пил/о́воч/н/ый.

Опилочный;О/пи́л/оч/н/ый.

Опиофагия;Опи/о/фа́г/и/я [й/а].

Описание;О/пис/а́/ни/е [й/э].

Описанный;О/пи́с/а/нн/ый.

Описательный;О/пис/а́/тельн/ый.

Описательство;О/пис/а́/тель/ств/о.

Описать;О/пис/а́/ть.

Описаться;О/пис/а́/ть/ся.

Описка;О/пи́с/к/а.

Описной;О/пис/н/о́й.

Описываться 2;О/пи́с/ыва/ть/ся² (от о/пис/а́/ть/ся).

Опись;О́/пись/.

Обвенчанный;Об/ве́нч/а/нн/ый.

Обверченный;Об/ве́рч/енн/ый.

Обвершенный;Об/ве́рш/енн/ый.

Обвершить;Об/ве́рш/и/ть.

Обвес 1;Об/ве́с/¹ (недовес).

Обвес 2;Об/ве́с/² (занавеска).

Обвести;Об/вес/ти́.

Обветренный;Об/ве́тр/енн/ый.

Обветреть;Об/ве́тр/е/ть.

Обветшалый;Об/ветш/а́/л/ый.

Обветшать;Об/ветш/а́/ть.

Обвешанный;Об/ве́ш/а/нн/ый (от об/ве́ш/а/ть).

Обвешенный;Об/ве́ш/енн/ый (от об/ве́с/и/ть).

Обвешивание 1;Об/ве́ш/ива/ни/е¹ [й/э] (от об/ве́ш/ива/ть¹).

Обвешивание 2;Об/ве́ш/ива/ни/е² [й/э] (от об/ве́ш/ива/ть²).

Обвешивание 3;Об/ве́ш/ива/ни/е³ [й/э] (от об/ве́ш/ива/ть³).

Обвешённый;Об/веш/ённ/ый (от об/веш/и́/ть).

Обвёрнутый;Об/вёр/ну/т/ый.

Обвёртка;Об/вёрт/к/а.

Обвёртывание;Об/вёрт/ыва/ни/е [й/э].

Обрысканный;Об/ры́ск/а/нн/ый.

Обрыскать;Об/ры́ск/а/ть, об/ры́щ/у и об/ры́ск/а/ю.

Обрытый;Об/ры́/т/ый.

Обрыхлеть;Об/рыхл/е́/ть.

Обрюзглость;О/брю́зг/л/ость/.

Обрюзглый;О/брю́зг/л/ый.

Обрюзгнуть;О/брю́зг/ну/ть.

Обрюзгший;О/брю́зг/ш/ий.

Обряд;Обря́д/.

Обрядность;Обря́д/н/ость/.

Обрядный;Обря́д/н/ый.

Обрядовый;Обря́д/ов/ый.

Обряжение;Об/ряж/е́ни/е [й/э].

Обряженный;Об/ря́ж/енн/ый.

Обсадить;Об/сад/и́/ть.

Обсадка;Об/са́д/к/а.

Обсадный;Об/са́д/н/ый.

Обсаженный;Об/са́ж/енн/ый.

Обсаживание;Об/са́ж/ива/ни/е [й/э].

Обсаленный;Об/са́л/енн/ый.

Обсахаренный;Об/са́хар/енн/ый.

Оповещение;Опо/вещ/е́ни/е [й/э].

Оповещённый;Опо/вещ/ённ/ый.

Опоганенный;О/пога́н/енн/ый.

Оподление;О/по́дл/ени/е [й/э].

Оподленный;О/по́дл/енн/ый.

Оподлеть;О/подл/е́/ть.

Опоек;О/по́/ек/.

Опоенный;О/по́/енн/ый.

Опоечный;О/по́/еч/н/ый.

Опоздание;О/позд/а́/ни/е [й/э].

Опоздать;О/позд/а́/ть.

Опознавание;О/по/зна/ва́/ни/е [й/э].

Опознавательный;О/по/зна/ва́/тельн/ый.

Опознание;О/по/зна́/ни/е [й/э].

Опознанный;О/по́/зна/нн/ый.

Опозорение;О/позо́р/ени/е [й/э].

Опозоренный;О/позо́р/енн/ый.

Опоить;О/по/и́/ть.

Опой;О/по́й/.

Опойковый;О/по́й/к/ов/ый.

Опойчатый;О/по́й/ч/ат/ый.

Опока;Опо́к/а.

Обтяжечный;Об/тя́ж/еч/н/ый.

Обтяжка;Об/тя́ж/к/а.

Обтяжной;Об/тяж/н/о́й.

Обтяжчик;Об/тя́ж/чик/.

Обтяжчица;Об/тя́ж/чиц/а.

Обтянутый;Об/тя́/ну/т/ый.

Обтяпанный;Об/тя́п/а/нн/ый.

Обтяпать;Об/тя́п/а/ть.

Обувание;Об/у/ва́/ни/е [й/э].

Обувки;Об/у́/в/к/и, ед. об/у́/в/к/а.

Обувной;Об/у/в/н/о́й.

Обувщик;Об/у/в/щи́к/.

Обувь;О́б/у/вь/.

Обугленный;Об/у́гл/енн/ый.

Обуглероживание;Об/углеро́ж/ива/ни/е [й/э].

Обугливание;Об/у́гл/ива/ни/е [й/э].

Обуженный;Об/у́ж/енн/ый.

Обуза;Обу́з/а.

Обуздание;Об/узд/а́/ни/е [й/э].

Обузданный;Об/у́зд/а/нн/ый.

Обуздать;Об/узд/а́/ть.

Обуздывание;Об/у́зд/ыва/ни/е [й/э].

Олеиновый;Оле/и́н/ов/ый.

Оленебык;Олен/е/бы́к/.

Оленевод;Олен/е/во́д/.

Оленеводство;Олен/е/во́д/ств/о.

Оленеводческий;Олен/е/во́д/ческ/ий.

Оленевый;Оле́н/ев/ый.

Оленегонный;Олен/е/го́н/н/ый.

Оленесовхоз;Олен/е/сов/хо́з/.

Олений;Оле́н/ий/.

Оленина;Оле́н/и́н/а.

Олениха;Оле́н/и́х/а.

Оленуха;Олен/у́х/а.

Олень;Оле́нь/.

Оленёнок;Олен/ёнок/.

Олеографический;Оле/о/граф/и́ческ/ий.

Олеография;Оле/о/гра́ф/и/я [й/а].

Олеофильный;Оле/о/фи́ль/н/ый.

Олеофобный;Оле/о/фо́б/н/ый.

Олешник;Оле́ш/ник/ и олеш/ня́к/.

Олива;Оли́в/а.

Оливин;Олив/и́н/.

Оливка;Оли́в/к/а.

Оливковый;Оли́в/к/ов/ый.

Оливомицин;Олив/о/миц/и́н/.

Олигарх;Олига́рх/.

Олигархический;Олигарх/и́ческ/ий.

Олигархия;Олига́рх/и/я [й/а].

Олимпиада;Олимп/иа́д/а.

Олимпиец;Олимп/и́/ец/.

Олимпийка;Олимп/и́й/к/а.

Осмотрительный;О/смотр/и́/тельн/ый.

Осмотрщик;О/смо́тр/щик/.

Осмуглить;О/смугл/и́/ть.

Осмуглённый;О/смугл/ённ/ый.

Осмысление;О/с/мысл/е́ни/е [й/э].

Осмысленный;О/с/мы́сл/енн/ый; кр. ф. прич. о/с/мы́сл/ен/, о/с/мы́сл/ен/а; кр. ф. прил. о/с/мы́сл/ен/, о/с/мы́сл/енн/а.

Осмысливание;О/с/мы́сл/ива/ни/е [й/э].

Осмыслить;О/с/мы́сл/и/ть.

Оснастить;О/снаст/и́/ть.

Оснастка;О/сна́ст/к/а.

Оснастчик;О/сна́ст/чик/.

Оснащение;О/снащ/е́ни/е [й/э].

Оснащённость;О/снащ/ённ/ость/.

Оснащённый;О/снащ/ённ/ый.

Основа;Осно́в/а.

Основание;Основ/а́/ни/е [й/э].

Основанный;Осно́в/а/нн/ый.

Основатель;Основ/а́/тель/.

Основательница;Основ/а́/тель/ниц/а.

Основательность;Основ/а́/тельн/ость/.

Основательный;Основ/а́/тельн/ый.

Основной;Основн/о́й (главный).

Основный;Осно́в/н/ый (хим., тех.).

Основовязальный;Основ/о/вяз/а́/ль/н/ый.

Основополагающий;Основ/о/по/лаг/а́/ющ/ий.

Облаженный;Об/ла́ж/енн/ый.

Облазанный;Об/ла́з/а/нн/ый.

Облазать;Об/ла́з/а/ть.

Облазить;Об/ла́з/и/ть.

Облако;О́блак/о.

Облакомер;Облак/о/ме́р/.

Обламывание;Об/ла́м/ыва/ни/е [й/э].

Облапить;Об/ла́п/и/ть.

Облапленный;Об/ла́пл/енн/ый.

Облапливать;Об/ла́пл/ива/ть.

Облапошенный;Об/лапо́ш/енн/ый.

Облапошить;Об/лапо́ш/и/ть.

Обласканный;Об/ла́ск/а/нн/ый.

Обласкать;Об/ласк/а́/ть.

Областной;Област/н/о́й.

Область;О́бласть/.

Облатка;Обла́тк/а.

Облаточный;Обла́точ/н/ый.

Облачение;Облач/е́ни/е [й/э].

Облачко;О́блач/к/о.

Облачность;О́блач/н/ость/.

Облачный;О́блач/н/ый.

Облачённый;Облач/ённ/ый.

Оскорбление;Оскорбл/е́ни/е [й/э].

Оскорблённый;Оскорбл/ённ/ый.

Оскотиниться;О/скоти́н/и/ть/ся.

Оскребать;О/скреб/а́/ть.

Оскрести;О/скрес/ти́.

Оскрёбки;О/скрёб/к/и, ед. о/скрёб/ок/.

Оскрёбший;О/скрёб/ш/ий.

Оскрёбыш;О/скрёб/ыш/.

